Time;Value
0,000000;0
0,010000;166
0,020000;1128
0,030000;4757
0,040000;11944
0,050000;20823
0,060000;28010
0,070000;31639
0,080000;32601
0,090000;32767
0,100000;32767
0,110000;32767
0,120000;32767
0,130000;32767
0,140000;32767
0,150000;32767
0,160000;32767
0,170000;32767
0,180000;32767
0,190000;32767
0,200000;32767
0,210000;32767
0,220000;32767
0,230000;32767
0,240000;32767
0,250000;32435
0,260000;30511
0,270000;23253
0,280000;8879
0,290000;-8879
0,300000;-23253
0,310000;-30511
0,320000;-32435
0,330000;-32767
0,340000;-32767
0,350000;-32767
0,360000;-32767
0,370000;-32767
0,380000;-32767
0,390000;-32767
0,400000;-32767
0,410000;-32767
0,420000;-32767
0,430000;-32767
0,440000;-32767
0,450000;-32767
0,460000;-32767
0,470000;-32767
0,480000;-32767
0,490000;-32767
0,500000;-32435
0,510000;-30511
0,520000;-23253
0,530000;-8879
0,540000;8879
0,550000;23253
0,560000;30511
0,570000;32435
0,580000;32767
0,590000;32767
0,600000;32767
0,610000;32767
0,620000;32767
0,630000;32767
0,640000;32767
0,650000;32767
0,660000;32767
0,670000;32767
0,680000;32767
0,690000;32767
0,700000;32767
0,710000;32767
0,720000;32767
0,730000;32767
0,740000;32767
0,750000;32435
0,760000;30511
0,770000;23253
0,780000;8879
0,790000;-8879
0,800000;-23253
0,810000;-30511
0,820000;-32435
0,830000;-32767
0,840000;-32767
0,850000;-32767
0,860000;-32767
0,870000;-32767
0,880000;-32767
0,890000;-32767
0,900000;-32767
0,910000;-32767
0,920000;-32767
0,930000;-32767
0,940000;-32767
0,950000;-32767
0,960000;-32767
0,970000;-32767
0,980000;-32767
0,990000;-32767
1,000000;-32435
1,010000;-30511
1,020000;-23253
1,030000;-8879
1,040000;8879
1,050000;23253
1,060000;30511
1,070000;32435
1,080000;32767
1,090000;32767
1,100000;32767
1,110000;32767
1,120000;32767
1,130000;32767
1,140000;32767
1,150000;32767
1,160000;32767
1,170000;32767
1,180000;32767
1,190000;32767
1,200000;32767
1,210000;32767
1,220000;32767
1,230000;32767
1,240000;32767
1,250000;32435
1,260000;30511
1,270000;23253
1,280000;8879
1,290000;-8879
1,300000;-23253
1,310000;-30511
1,320000;-32435
1,330000;-32767
1,340000;-32767
1,350000;-32767
1,360000;-32767
1,370000;-32767
1,380000;-32767
1,390000;-32767
1,400000;-32767
1,410000;-32767
1,420000;-32767
1,430000;-32767
1,440000;-32767
1,450000;-32767
1,460000;-32767
1,470000;-32767
1,480000;-32767
1,490000;-32767
1,500000;-32435
1,510000;-30511
1,520000;-23253
1,530000;-8879
1,540000;8879
1,550000;23253
1,560000;30511
1,570000;32435
1,580000;32767
1,590000;32767
1,600000;32767
1,610000;32767
1,620000;32767
1,630000;32767
1,640000;32767
1,650000;32767
1,660000;32767
1,670000;32767
1,680000;32767
1,690000;32767
1,700000;32767
1,710000;32767
1,720000;32767
1,730000;32767
1,740000;32767
1,750000;32435
1,760000;30511
1,770000;23253
1,780000;8879
1,790000;-8879
1,800000;-23253
1,810000;-30511
1,820000;-32435
1,830000;-32767
1,840000;-32767
1,850000;-32767
1,860000;-32767
1,870000;-32767
1,880000;-32767
1,890000;-32767
1,900000;-32767
1,910000;-32767
1,920000;-32767
1,930000;-32767
1,940000;-32767
1,950000;-32767
1,960000;-32767
1,970000;-32767
1,980000;-32767
1,990000;-32767
2,000000;-32435
2,010000;-30511
2,020000;-23253
2,030000;-8879
2,040000;8879
2,050000;23253
2,060000;30511
2,070000;32435
2,080000;32767
2,090000;32767
2,100000;32767
2,110000;32767
2,120000;32767
2,130000;32767
2,140000;32767
2,150000;32767
2,160000;32767
2,170000;32767
2,180000;32767
2,190000;32767
2,200000;32767
2,210000;32767
2,220000;32767
2,230000;32767
2,240000;32767
2,250000;32767
2,260000;32435
2,270000;30511
2,280000;23253
2,290000;8879
2,300000;-8879
2,310000;-23253
2,320000;-30511
2,330000;-32435
2,340000;-32767
2,350000;-32767
2,360000;-32767
2,370000;-32767
2,380000;-32767
2,390000;-32767
2,400000;-32767
2,410000;-32767
2,420000;-32767
2,430000;-32767
2,440000;-32767
2,450000;-32767
2,460000;-32767
2,470000;-32767
2,480000;-32767
2,490000;-32767
2,500000;-32767
2,510000;-32435
2,520000;-30511
2,530000;-23253
2,540000;-8879
2,550000;8879
2,560000;23253
2,570000;30511
2,580000;32435
2,590000;32767
2,600000;32767
2,610000;32767
2,620000;32767
2,630000;32767
2,640000;32767
2,650000;32767
2,660000;32767
2,670000;32767
2,680000;32767
2,690000;32767
2,700000;32767
2,710000;32767
2,720000;32767
2,730000;32767
2,740000;32767
2,750000;32767
2,760000;32435
2,770000;30511
2,780000;23253
2,790000;8879
2,800000;-8879
2,810000;-23253
2,820000;-30511
2,830000;-32435
2,840000;-32767
2,850000;-32767
2,860000;-32767
2,870000;-32767
2,880000;-32767
2,890000;-32767
2,900000;-32767
2,910000;-32767
2,920000;-32767
2,930000;-32767
2,940000;-32767
2,950000;-32767
2,960000;-32767
2,970000;-32767
2,980000;-32767
2,990000;-32767
