Time;Value(generator);Value(filterd)
0,000000;0;0
0,000010;32767;166
0,000020;32767;1128
0,000030;32767;4757
0,000040;32767;11944
0,000050;32767;20823
0,000060;32767;28010
0,000070;32767;31639
0,000080;32767;32601
0,000090;32767;32767
0,000100;32767;32767
0,000110;32767;32767
0,000120;32767;32767
0,000130;32767;32767
0,000140;32767;32767
0,000150;32767;32767
0,000160;32767;32767
0,000170;32767;32767
0,000180;32767;32767
0,000190;32767;32767
0,000200;32767;32767
0,000210;32767;32767
0,000220;32767;32767
0,000230;32767;32767
0,000240;32767;32767
0,000250;32767;32767
0,000260;32767;32767
0,000270;32767;32767
0,000280;32767;32767
0,000290;32767;32767
0,000300;32767;32767
0,000310;32767;32767
0,000320;32767;32767
0,000330;32767;32767
0,000340;32767;32767
0,000350;32767;32767
0,000360;32767;32767
0,000370;32767;32767
0,000380;32767;32767
0,000390;32767;32767
0,000400;32767;32767
0,000410;32767;32767
0,000420;32767;32767
0,000430;32767;32767
0,000440;32767;32767
0,000450;32767;32767
0,000460;32767;32767
0,000470;32767;32767
0,000480;32767;32767
0,000490;32767;32767
0,000500;-32767;32435
0,000510;-32767;30511
0,000520;-32767;23253
0,000530;-32767;8879
0,000540;-32767;-8879
0,000550;-32767;-23253
0,000560;-32767;-30511
0,000570;-32767;-32435
0,000580;-32767;-32767
0,000590;-32767;-32767
0,000600;-32767;-32767
0,000610;-32767;-32767
0,000620;-32767;-32767
0,000630;-32767;-32767
0,000640;-32767;-32767
0,000650;-32767;-32767
0,000660;-32767;-32767
0,000670;-32767;-32767
0,000680;-32767;-32767
0,000690;-32767;-32767
0,000700;-32767;-32767
0,000710;-32767;-32767
0,000720;-32767;-32767
0,000730;-32767;-32767
0,000740;-32767;-32767
0,000750;-32767;-32767
0,000760;-32767;-32767
0,000770;-32767;-32767
0,000780;-32767;-32767
0,000790;-32767;-32767
0,000800;-32767;-32767
0,000810;-32767;-32767
0,000820;-32767;-32767
0,000830;-32767;-32767
0,000840;-32767;-32767
0,000850;-32767;-32767
0,000860;-32767;-32767
0,000870;-32767;-32767
0,000880;-32767;-32767
0,000890;-32767;-32767
0,000900;-32767;-32767
0,000910;-32767;-32767
0,000920;-32767;-32767
0,000930;-32767;-32767
0,000940;-32767;-32767
0,000950;-32767;-32767
0,000960;-32767;-32767
0,000970;-32767;-32767
0,000980;-32767;-32767
0,000990;-32767;-32767
0,001000;32767;-32435
0,001010;32767;-30511
0,001020;32767;-23253
0,001030;32767;-8879
0,001040;32767;8879
0,001050;32767;23253
0,001060;32767;30511
0,001070;32767;32435
0,001080;32767;32767
0,001090;32767;32767
0,001100;32767;32767
0,001110;32767;32767
0,001120;32767;32767
0,001130;32767;32767
0,001140;32767;32767
0,001150;32767;32767
0,001160;32767;32767
0,001170;32767;32767
0,001180;32767;32767
0,001190;32767;32767
0,001200;32767;32767
0,001210;32767;32767
0,001220;32767;32767
0,001230;32767;32767
0,001240;32767;32767
0,001250;32767;32767
0,001260;32767;32767
0,001270;32767;32767
0,001280;32767;32767
0,001290;32767;32767
0,001300;32767;32767
0,001310;32767;32767
0,001320;32767;32767
0,001330;32767;32767
0,001340;32767;32767
0,001350;32767;32767
0,001360;32767;32767
0,001370;32767;32767
0,001380;32767;32767
0,001390;32767;32767
0,001400;32767;32767
0,001410;32767;32767
0,001420;32767;32767
0,001430;32767;32767
0,001440;32767;32767
0,001450;32767;32767
0,001460;32767;32767
0,001470;32767;32767
0,001480;32767;32767
0,001490;32767;32767
0,001500;-32767;32435
0,001510;-32767;30511
0,001520;-32767;23253
0,001530;-32767;8879
0,001540;-32767;-8879
0,001550;-32767;-23253
0,001560;-32767;-30511
0,001570;-32767;-32435
0,001580;-32767;-32767
0,001590;-32767;-32767
0,001600;-32767;-32767
0,001610;-32767;-32767
0,001620;-32767;-32767
0,001630;-32767;-32767
0,001640;-32767;-32767
